4,0.39,0.06,0.3,0.88
4,0.64,0.83,0.81,0.57
9,0.95,0.63,0.19,0.08
6,0.96,0.74,0.97,0.26
4,0.08,0.12,0.79,0.75
12,0.1,0.37,0.94,0.09
22,0.78,0.88,0.46,0.07
4,0.91,0.12,0.7,0.52
4,0.77,0.32,0.47,0.52
4,0.46,0.63,0.81,0.6
4,0.38,0.82,0.54,0.85
5,0.85,0.1,0.07,0.41
4,0.67,0.98,0.15,0.67
4,0.67,0.93,0.62,0.45
4,0.74,0.76,0.39,0.53
7,0.22,0.84,0.82,0.25
4,0.72,0.16,0.52,0.7
5,0.14,0.97,0.63,0.4
5,0.94,0.17,0.93,0.38
7,0.95,0.94,0.47,0.26
4,0.71,0.48,0.28,0.66
33,0.42,0.36,0.66,0.01
5,0.84,0.08,0.83,0.43
4,0.32,0.11,0.43,0.8
7,0.9,0.61,0.15,0.25
4,0.44,0.81,0.57,0.64
6,0.71,0.6,0.24,0.22
4,0.07,0.47,0.52,0.48
4,0.72,0.09,0.34,0.66
4,0.72,0.99,0.08,0.48
4,0.53,0.53,0.18,0.95
4,0.97,0.17,0.77,0.57
4,0.31,0.57,0.57,0.69
5,0.26,0.84,0.51,0.18
4,0.29,0.86,0.15,0.82
4,0.11,0.5,0.48,0.72
4,0.12,0.3,0.11,0.46
5,0.23,0.49,0.15,0.27
5,0.61,0.49,0.85,0.44
4,0.8,0.54,0.57,0.72
4,0.61,0.23,0.4,0.84
4,0.11,0.56,0.59,0.55
4,0.71,0.6,0.48,0.72
24,0.43,0.32,0.35,0.05
21,0.68,0.76,0.69,0.02
4,0.15,0.08,0.15,0.64
9,0.12,0.87,0.69,0.23
10,0.36,0.17,0.4,0.12
5,0.6,0.31,0.54,0.5
5,0.52,0.85,0.75,0.25
11,0.33,0.3,0.92,0.12
4,0.58,0.99,0.93,0.45
4,0.27,0.91,0.12,0.59
5,0.94,0.91,0.17,0.31
4,0.97,0.94,0.41,0.8
4,0.18,0.97,0.26,0.65
17,0.3,0.63,0.04,0.06
6,0.08,0.7,0.25,0.12
4,0.03,0.19,0.1,0.98
4,0.55,0.63,0.12,0.98
4,0.71,0.68,0.25,0.75
32,0.67,0.78,0.01,0.01
4,0.69,0.42,0.14,0.95
9,0.99,0.59,0.84,0.12
5,0.93,0.36,0.24,0.39
4,0.46,0.0,0.4,0.75
6,0.35,0.39,0.03,0.15
11,0.3,0.66,0.57,0.09
7,0.56,0.65,0.59,0.17
4,0.09,0.34,0.55,0.79
5,0.25,0.26,0.67,0.44
4,0.47,0.66,0.52,0.62
4,0.79,0.69,0.63,0.46
5,0.72,0.87,0.1,0.63
4,0.87,0.58,0.91,0.7
18,0.44,0.99,0.33,0.09
4,0.01,0.59,0.73,0.86
6,0.79,0.44,0.42,0.28
6,0.43,0.22,0.35,0.25
6,0.94,0.71,0.1,0.16
5,0.85,0.91,0.43,0.45
4,0.67,0.31,0.72,0.92
5,0.21,0.53,0.33,0.57
4,0.01,0.6,0.52,0.87
4,0.99,0.81,0.48,0.83
4,0.26,0.21,0.75,0.74
9,0.11,0.16,0.59,0.1
5,0.4,0.91,0.53,0.14
4,0.54,0.54,0.43,0.91
43,0.49,0.22,0.01,0.01
4,0.63,0.47,0.3,0.79
12,0.24,0.78,0.96,0.08
4,0.01,0.78,0.89,0.73
5,0.53,0.8,0.79,0.45
4,0.85,0.14,0.39,0.92
4,0.74,0.64,0.44,0.93
4,0.91,0.5,0.03,0.94
6,0.54,0.12,0.65,0.29
12,0.47,0.26,0.67,0.12
4,0.03,0.3,0.17,0.64
max fit,43

NEW RUN: 1
4,0.54,0.12,0.79,0.75
4,0.25,0.26,0.28,0.66
5,0.24,0.78,0.69,0.23
7,0.1,0.37,0.24,0.22
22,0.22,0.84,0.66,0.01
6,0.46,0.63,0.82,0.25
30,0.85,0.91,0.04,0.06
4,0.72,0.87,0.59,0.55
4,0.35,0.39,0.1,0.63
5,0.71,0.6,0.93,0.38
15,0.84,0.08,0.94,0.09
5,0.24,0.78,0.69,0.23
4,0.3,0.66,0.25,0.75
12,0.71,0.68,0.57,0.09
4,0.53,0.8,0.15,0.82
4,0.9,0.61,0.18,0.95
6,0.36,0.17,0.03,0.15
5,0.71,0.6,0.93,0.38
4,0.71,0.6,0.93,0.38
4,0.94,0.17,0.62,0.45
5,0.94,0.17,0.62,0.45
4,0.54,0.12,0.79,0.75
5,0.11,0.56,0.79,0.45
5,0.72,0.87,0.59,0.55
42,0.23,0.9,0.01,0.01
4,0.67,0.78,0.63,0.84
5,0.33,0.3,0.33,0.57
10,0.71,0.6,0.92,0.12
60,0.95,0.63,0.01,0.01
8,0.49,0.22,0.15,0.25
7,0.49,0.22,0.15,0.25
11,0.91,0.83,0.19,0.08
7,0.77,0.32,0.1,0.16
4,0.94,0.71,0.73,0.86
4,0.33,0.3,0.33,0.57
4,0.19,0.12,0.48,0.72
18,0.3,0.63,0.69,0.02
13,0.85,0.91,0.04,0.06
6,0.24,0.78,0.69,0.23
4,0.12,0.87,0.83,0.43
5,0.24,0.78,0.69,0.23
7,0.24,0.78,0.69,0.23
5,0.49,0.22,0.15,0.25
4,0.29,0.86,0.85,0.53
14,0.68,0.76,0.96,0.08
4,0.35,0.39,0.1,0.63
5,0.91,0.12,0.43,0.45
4,0.53,0.53,0.7,0.52
5,0.95,0.94,0.59,0.17
7,0.56,0.65,0.47,0.26
4,0.93,0.36,0.4,0.75
5,0.46,0.0,0.24,0.39
4,0.35,0.39,0.1,0.63
20,0.3,0.63,0.69,0.02
4,0.44,0.99,0.26,0.65
12,0.42,0.36,0.33,0.09
5,0.31,0.57,0.08,0.77
4,0.82,0.89,0.57,0.69
5,0.11,0.56,0.79,0.45
4,0.9,0.61,0.18,0.95
7,0.1,0.37,0.24,0.22
10,0.68,0.76,0.96,0.08
4,0.4,0.91,0.43,0.91
5,0.54,0.54,0.42,0.28
5,0.6,0.31,0.81,0.6
4,0.18,0.97,0.54,0.5
7,0.49,0.22,0.15,0.25
4,0.53,0.8,0.15,0.82
4,0.34,0.75,0.52,0.7
6,0.72,0.16,0.8,0.26
6,0.54,0.54,0.42,0.28
11,0.79,0.44,0.53,0.14
4,0.33,0.3,0.33,0.57
4,0.21,0.53,0.07,0.64
4,0.78,0.88,0.31,0.72
32,0.66,0.4,0.46,0.07
5,0.71,0.48,0.65,0.29
4,0.25,0.26,0.28,0.66
4,0.54,0.12,0.79,0.75
7,0.08,0.12,0.4,0.12
4,0.74,0.76,0.81,0.57
4,0.64,0.83,0.39,0.53
4,0.94,0.71,0.73,0.86
5,0.01,0.59,0.47,0.52
5,0.67,0.93,0.67,0.44
5,0.94,0.17,0.62,0.45
21,0.22,0.84,0.66,0.01
4,0.44,0.99,0.26,0.65
4,0.9,0.61,0.18,0.95
4,0.91,0.12,0.43,0.45
4,0.92,0.39,0.07,0.41
6,0.85,0.1,0.2,0.4
4,0.44,0.99,0.26,0.65
4,0.6,0.31,0.81,0.6
6,0.1,0.37,0.24,0.22
13,0.42,0.36,0.33,0.09
4,0.47,0.66,0.57,0.64
5,0.44,0.81,0.52,0.62
7,0.1,0.37,0.24,0.22
20,0.42,0.36,0.33,0.09
max fit,60

NEW RUN: 2
5,0.9,0.06,0.42,0.28
11,0.54,0.54,0.19,0.08
16,0.94,0.17,0.04,0.06
10,0.1,0.37,0.4,0.12
8,0.77,0.32,0.96,0.08
8,0.85,0.1,0.1,0.16
4,0.44,0.99,0.33,0.57
4,0.78,0.88,0.26,0.65
4,0.36,0.17,0.29,0.89
10,0.94,0.17,0.04,0.06
11,0.29,0.86,0.42,0.14
5,0.3,0.84,0.85,0.53
16,0.77,0.32,0.96,0.08
4,0.68,0.76,0.52,0.62
28,0.24,0.78,0.69,0.02
8,0.49,0.22,0.53,0.14
6,0.3,0.63,0.69,0.23
6,0.22,0.84,0.8,0.26
8,0.73,0.42,0.03,0.15
12,0.94,0.17,0.04,0.06
6,0.31,0.57,0.15,0.25
34,0.24,0.78,0.69,0.02
4,0.36,0.17,0.29,0.89
6,0.72,0.57,0.24,0.22
4,0.01,0.59,0.2,0.4
4,0.68,0.76,0.52,0.62
10,0.94,0.17,0.04,0.06
31,0.85,0.91,0.66,0.01
5,0.91,0.83,0.75,0.48
5,0.42,0.36,0.43,0.45
10,0.1,0.37,0.4,0.12
7,0.44,0.81,0.85,0.14
6,0.22,0.84,0.8,0.26
5,0.42,0.36,0.43,0.45
9,0.1,0.37,0.4,0.12
8,0.1,0.37,0.4,0.12
5,0.3,0.63,0.69,0.23
6,0.49,0.22,0.53,0.14
8,0.22,0.84,0.8,0.26
4,0.42,0.36,0.43,0.45
74,0.67,0.93,0.01,0.01
6,0.95,0.63,0.67,0.44
8,0.71,0.6,0.94,0.09
29,0.24,0.78,0.69,0.02
13,0.48,0.03,0.33,0.09
5,0.91,0.83,0.75,0.48
5,0.95,0.94,0.62,0.45
8,0.53,0.42,0.59,0.17
5,0.22,0.84,0.8,0.26
4,0.71,0.6,0.59,0.55
55,0.85,0.91,0.66,0.01
4,0.68,0.76,0.52,0.62
4,0.84,0.08,0.1,0.63
4,0.35,0.39,0.08,0.77
9,0.71,0.6,0.94,0.09
4,0.35,0.39,0.08,0.77
5,0.22,0.84,0.8,0.26
30,0.24,0.78,0.69,0.02
5,0.23,0.9,0.71,0.36
11,0.1,0.37,0.4,0.12
4,0.53,0.8,0.31,0.72
4,0.72,0.16,0.34,0.52
8,0.49,0.22,0.53,0.14
18,0.85,0.91,0.66,0.01
9,0.49,0.22,0.53,0.14
5,0.42,0.36,0.43,0.45
15,0.54,0.54,0.19,0.08
8,0.49,0.22,0.53,0.14
4,0.09,0.91,0.04,0.75
4,0.68,0.76,0.52,0.62
5,0.22,0.84,0.8,0.26
5,0.22,0.84,0.8,0.26
8,0.22,0.84,0.8,0.26
5,0.33,0.3,0.93,0.38
9,0.72,0.87,0.69,0.15
6,0.49,0.22,0.53,0.14
31,0.08,0.12,0.01,0.01
13,0.1,0.37,0.4,0.12
5,0.22,0.84,0.8,0.26
5,0.44,0.99,0.33,0.57
6,0.23,0.9,0.71,0.36
4,0.68,0.76,0.52,0.62
6,0.49,0.22,0.53,0.14
4,0.71,0.6,0.59,0.55
5,0.42,0.36,0.43,0.45
6,0.42,0.36,0.43,0.45
8,0.49,0.22,0.53,0.14
18,0.24,0.78,0.69,0.02
8,0.79,0.44,0.92,0.12
7,0.49,0.22,0.53,0.14
8,0.44,0.81,0.85,0.14
5,0.95,0.94,0.62,0.45
4,0.53,0.8,0.31,0.72
7,0.22,0.84,0.8,0.26
4,0.11,0.56,0.15,0.82
5,0.79,0.46,0.79,0.45
4,0.42,0.36,0.43,0.45
5,0.91,0.12,0.47,0.52
4,0.11,0.56,0.15,0.82
4,0.72,0.16,0.34,0.52
max fit,74

NEW RUN: 3
6,0.85,0.91,0.93,0.38
6,0.49,0.22,0.71,0.36
6,0.53,0.8,0.8,0.26
4,0.22,0.84,0.26,0.65
4,0.24,0.78,0.52,0.62
5,0.24,0.78,0.52,0.62
9,0.29,0.86,0.94,0.09
5,0.49,0.22,0.71,0.36
10,0.1,0.37,0.53,0.14
7,0.79,0.44,0.24,0.22
8,0.1,0.37,0.53,0.14
10,0.1,0.37,0.53,0.14
14,0.67,0.93,0.04,0.06
7,0.1,0.37,0.53,0.14
6,0.94,0.17,0.59,0.17
8,0.1,0.37,0.53,0.14
4,0.22,0.84,0.26,0.65
29,0.08,0.12,0.69,0.02
8,0.94,0.17,0.59,0.17
33,0.08,0.12,0.69,0.02
4,0.22,0.84,0.26,0.65
5,0.49,0.22,0.71,0.36
58,0.93,0.5,0.01,0.01
6,0.49,0.22,0.71,0.36
7,0.42,0.36,0.42,0.14
77,0.77,0.32,0.66,0.01
7,0.3,0.84,0.69,0.23
4,0.66,0.31,0.85,0.53
18,0.67,0.93,0.04,0.06
4,0.22,0.84,0.26,0.65
4,0.44,0.81,0.43,0.49
7,0.43,0.86,0.85,0.14
8,0.9,0.65,0.42,0.28
4,0.9,0.06,0.48,0.85
6,0.49,0.22,0.71,0.36
5,0.85,0.91,0.93,0.38
5,0.91,0.12,0.41,0.66
8,0.3,0.84,0.69,0.23
4,0.3,0.63,0.67,0.44
4,0.49,0.22,0.71,0.36
8,0.78,0.88,0.92,0.12
4,0.22,0.84,0.26,0.65
5,0.85,0.91,0.93,0.38
6,0.95,0.63,0.41,0.38
10,0.71,0.6,0.96,0.08
9,0.94,0.17,0.59,0.17
13,0.67,0.93,0.04,0.06
8,0.1,0.37,0.53,0.14
4,0.24,0.78,0.52,0.62
28,0.08,0.12,0.69,0.02
8,0.42,0.36,0.42,0.14
13,0.71,0.6,0.96,0.08
5,0.85,0.91,0.93,0.38
8,0.42,0.36,0.42,0.14
10,0.29,0.86,0.94,0.09
8,0.94,0.17,0.59,0.17
9,0.3,0.84,0.69,0.23
5,0.49,0.22,0.71,0.36
4,0.73,0.42,0.31,0.72
5,0.85,0.91,0.93,0.38
11,0.94,0.17,0.59,0.17
49,0.77,0.32,0.66,0.01
10,0.29,0.86,0.94,0.09
4,0.22,0.84,0.26,0.65
7,0.72,0.57,0.4,0.12
5,0.79,0.44,0.24,0.22
10,0.54,0.54,0.19,0.08
13,0.54,0.54,0.19,0.08
7,0.1,0.37,0.53,0.14
6,0.42,0.36,0.42,0.14
30,0.33,0.3,0.01,0.01
4,0.24,0.78,0.52,0.62
5,0.3,0.63,0.67,0.44
7,0.1,0.37,0.53,0.14
7,0.56,0.08,0.03,0.15
5,0.85,0.91,0.93,0.38
4,0.24,0.78,0.52,0.62
7,0.42,0.36,0.42,0.14
6,0.34,0.69,0.49,0.18
4,0.91,0.12,0.41,0.66
6,0.42,0.36,0.42,0.14
4,0.24,0.78,0.52,0.62
4,0.44,0.81,0.43,0.49
5,0.53,0.42,0.44,0.47
5,0.85,0.91,0.93,0.38
11,0.94,0.17,0.59,0.17
8,0.1,0.37,0.53,0.14
8,0.1,0.37,0.53,0.14
4,0.22,0.84,0.26,0.65
11,0.29,0.86,0.94,0.09
7,0.85,0.91,0.93,0.38
4,0.24,0.78,0.52,0.62
4,0.44,0.81,0.43,0.49
9,0.94,0.17,0.59,0.17
4,0.24,0.78,0.52,0.62
5,0.68,0.76,0.33,0.57
5,0.23,0.9,0.47,0.52
5,0.49,0.22,0.71,0.36
5,0.44,0.99,0.43,0.45
4,0.68,0.76,0.33,0.57
max fit,77

NEW RUN: 4
6,0.9,0.06,0.93,0.38
9,0.85,0.91,0.4,0.12
20,0.1,0.37,0.69,0.02
7,0.71,0.6,0.59,0.17
9,0.94,0.17,0.92,0.12
10,0.08,0.12,0.42,0.14
7,0.29,0.86,0.53,0.14
8,0.85,0.91,0.4,0.12
10,0.85,0.91,0.4,0.12
7,0.71,0.6,0.59,0.17
4,0.54,0.54,0.14,0.94
10,0.94,0.17,0.92,0.12
8,0.33,0.3,0.24,0.22
5,0.24,0.78,0.26,0.65
8,0.29,0.86,0.53,0.14
4,0.77,0.32,0.48,0.71
4,0.9,0.65,0.48,0.85
4,0.77,0.32,0.48,0.71
10,0.08,0.12,0.42,0.14
7,0.71,0.6,0.59,0.17
9,0.93,0.5,0.04,0.06
7,0.85,0.91,0.4,0.12
5,0.42,0.36,0.42,0.28
19,0.1,0.37,0.69,0.02
8,0.85,0.91,0.4,0.12
7,0.85,0.91,0.4,0.12
18,0.1,0.37,0.69,0.02
6,0.22,0.84,0.35,0.37
6,0.42,0.36,0.42,0.28
7,0.78,0.88,0.94,0.09
9,0.33,0.3,0.24,0.22
4,0.57,0.29,0.52,0.62
5,0.42,0.36,0.42,0.28
19,0.1,0.37,0.69,0.02
9,0.67,0.93,0.32,0.1
32,0.1,0.37,0.69,0.02
32,0.44,0.81,0.66,0.01
7,0.29,0.86,0.53,0.14
18,0.1,0.37,0.69,0.02
22,0.1,0.37,0.69,0.02
8,0.49,0.22,0.69,0.23
4,0.3,0.84,0.43,0.49
8,0.08,0.12,0.42,0.14
9,0.78,0.88,0.94,0.09
7,0.94,0.17,0.92,0.12
30,0.1,0.37,0.69,0.02
4,0.54,0.54,0.14,0.94
8,0.93,0.5,0.04,0.06
9,0.94,0.17,0.92,0.12
7,0.85,0.91,0.4,0.12
6,0.79,0.44,0.71,0.36
4,0.3,0.84,0.43,0.49
4,0.54,0.54,0.14,0.94
7,0.29,0.86,0.53,0.14
6,0.94,0.17,0.92,0.12
63,0.36,0.33,0.01,0.01
4,0.77,0.32,0.48,0.71
14,0.67,0.93,0.32,0.1
9,0.85,0.91,0.4,0.12
19,0.93,0.5,0.04,0.06
11,0.08,0.12,0.42,0.14
10,0.37,0.93,0.96,0.08
19,0.1,0.37,0.69,0.02
11,0.88,0.96,0.19,0.08
31,0.1,0.37,0.69,0.02
4,0.65,0.9,0.28,0.83
7,0.33,0.3,0.24,0.22
5,0.3,0.84,0.43,0.49
5,0.42,0.36,0.42,0.28
10,0.67,0.93,0.32,0.1
6,0.72,0.57,0.05,0.33
20,0.1,0.37,0.69,0.02
5,0.49,0.22,0.69,0.23
4,0.77,0.32,0.48,0.71
57,0.39,0.05,0.01,0.01
4,0.24,0.78,0.26,0.65
9,0.94,0.17,0.92,0.12
8,0.44,0.99,0.12,0.22
9,0.49,0.94,0.85,0.14
32,0.43,0.86,0.34,0.01
9,0.94,0.17,0.92,0.12
4,0.23,0.9,0.43,0.45
24,0.1,0.37,0.69,0.02
9,0.85,0.91,0.4,0.12
4,0.3,0.84,0.43,0.49
58,0.43,0.86,0.34,0.01
9,0.94,0.17,0.92,0.12
6,0.49,0.22,0.69,0.23
5,0.49,0.22,0.69,0.23
4,0.65,0.79,0.47,0.52
6,0.08,0.12,0.42,0.14
6,0.02,0.54,0.83,0.27
11,0.67,0.93,0.32,0.1
4,0.24,0.78,0.26,0.65
4,0.3,0.84,0.43,0.49
4,0.54,0.54,0.14,0.94
5,0.22,0.84,0.35,0.37
11,0.08,0.12,0.42,0.14
6,0.49,0.22,0.69,0.23
4,0.77,0.32,0.48,0.71
max fit,63

NEW RUN: 5
4,0.85,0.91,0.19,0.96
7,0.3,0.84,0.92,0.12
30,0.1,0.37,0.34,0.01
31,0.39,0.05,0.69,0.02
38,0.42,0.36,0.01,0.01
29,0.1,0.37,0.34,0.01
5,0.49,0.22,0.43,0.45
29,0.1,0.37,0.34,0.01
31,0.1,0.37,0.34,0.01
6,0.94,0.17,0.44,0.25
4,0.43,0.86,0.26,0.65
6,0.94,0.17,0.44,0.25
20,0.1,0.37,0.34,0.01
54,0.1,0.37,0.34,0.01
68,0.1,0.37,0.34,0.01
11,0.3,0.84,0.92,0.12
4,0.85,0.91,0.19,0.96
5,0.93,0.5,0.43,0.49
4,0.67,0.93,0.31,0.72
33,0.1,0.37,0.34,0.01
19,0.1,0.37,0.34,0.01
4,0.08,0.12,0.41,0.94
4,0.43,0.86,0.26,0.65
6,0.94,0.17,0.44,0.25
5,0.29,0.86,0.89,0.46
7,0.58,0.49,0.53,0.14
21,0.1,0.37,0.34,0.01
4,0.85,0.91,0.19,0.96
4,0.49,0.94,0.26,0.92
9,0.44,0.05,0.85,0.14
20,0.1,0.37,0.34,0.01
4,0.85,0.91,0.19,0.96
30,0.1,0.37,0.34,0.01
4,0.85,0.91,0.19,0.96
4,0.08,0.12,0.41,0.94
4,0.43,0.86,0.26,0.65
20,0.1,0.37,0.34,0.01
18,0.1,0.37,0.34,0.01
6,0.29,0.86,0.89,0.46
37,0.39,0.05,0.69,0.02
5,0.29,0.86,0.89,0.46
4,0.08,0.12,0.41,0.94
14,0.64,0.79,0.96,0.08
8,0.37,0.93,0.24,0.22
4,0.85,0.91,0.19,0.96
30,0.1,0.37,0.34,0.01
4,0.08,0.12,0.41,0.94
51,0.39,0.05,0.69,0.02
4,0.67,0.93,0.31,0.72
30,0.1,0.37,0.34,0.01
22,0.1,0.37,0.34,0.01
4,0.49,0.22,0.43,0.45
5,0.33,0.54,0.12,0.22
30,0.44,0.99,0.66,0.01
4,0.43,0.86,0.26,0.65
8,0.93,0.5,0.32,0.1
6,0.33,0.3,0.69,0.23
4,0.85,0.91,0.19,0.96
5,0.36,0.33,0.42,0.28
5,0.33,0.3,0.69,0.23
11,0.24,0.78,0.42,0.14
4,0.67,0.93,0.31,0.72
19,0.1,0.37,0.34,0.01
13,0.23,0.9,0.04,0.06
4,0.85,0.91,0.19,0.96
6,0.37,0.93,0.24,0.22
18,0.78,0.77,0.01,0.01
5,0.33,0.3,0.69,0.23
22,0.1,0.37,0.34,0.01
10,0.65,0.9,0.4,0.12
4,0.85,0.91,0.19,0.96
31,0.1,0.37,0.34,0.01
29,0.1,0.37,0.34,0.01
7,0.22,0.84,0.04,0.31
5,0.44,0.81,0.35,0.37
30,0.1,0.37,0.34,0.01
20,0.1,0.37,0.34,0.01
30,0.1,0.37,0.34,0.01
5,0.29,0.86,0.89,0.46
5,0.29,0.86,0.89,0.46
5,0.49,0.22,0.43,0.45
8,0.65,0.9,0.4,0.12
5,0.36,0.33,0.42,0.28
31,0.23,0.9,0.04,0.06
5,0.78,0.88,0.03,0.35
9,0.45,0.66,0.94,0.09
6,0.33,0.3,0.69,0.23
7,0.94,0.17,0.44,0.25
21,0.44,0.99,0.66,0.01
32,0.1,0.37,0.34,0.01
4,0.08,0.57,0.6,0.87
5,0.94,0.17,0.44,0.25
35,0.1,0.37,0.34,0.01
5,0.22,0.84,0.04,0.31
4,0.67,0.93,0.31,0.72
4,0.43,0.86,0.26,0.65
4,0.85,0.91,0.19,0.96
4,0.43,0.68,0.28,0.83
5,0.29,0.86,0.89,0.46
21,0.1,0.37,0.34,0.01
max fit,68

NEW RUN: 6
7,0.3,0.84,0.88,0.27
10,0.28,0.48,0.92,0.12
4,0.94,0.17,0.31,0.72
20,0.1,0.37,0.01,0.01
4,0.44,0.99,0.4,0.65
53,0.1,0.37,0.01,0.01
64,0.1,0.37,0.01,0.01
18,0.17,0.36,0.66,0.01
4,0.39,0.05,0.26,0.65
10,0.65,0.9,0.42,0.14
21,0.43,1.0,0.69,0.02
8,0.65,0.9,0.42,0.14
7,0.44,0.05,0.32,0.1
4,0.94,0.17,0.31,0.72
39,0.1,0.37,0.01,0.01
5,0.3,0.84,0.88,0.27
34,0.1,0.37,0.01,0.01
28,0.1,0.37,0.01,0.01
4,0.44,0.99,0.4,0.65
5,0.93,0.5,0.44,0.25
5,0.84,0.71,0.03,0.35
5,0.78,0.88,0.51,0.52
30,0.1,0.37,0.01,0.01
5,0.44,0.99,0.4,0.65
30,0.1,0.37,0.01,0.01
33,0.1,0.37,0.01,0.01
4,0.94,0.17,0.31,0.72
42,0.1,0.37,0.01,0.01
20,0.1,0.37,0.01,0.01
6,0.49,0.22,0.24,0.22
7,0.24,0.78,0.11,0.17
20,0.1,0.37,0.01,0.01
8,0.65,0.9,0.42,0.14
32,0.1,0.37,0.01,0.01
35,0.1,0.37,0.01,0.01
4,0.44,0.99,0.4,0.65
4,0.39,0.05,0.26,0.65
5,0.29,0.86,0.04,0.31
4,0.94,0.17,0.31,0.72
16,0.44,0.05,0.32,0.1
4,0.73,0.1,0.89,0.46
4,0.39,0.05,0.26,0.65
20,0.1,0.37,0.01,0.01
4,0.72,0.07,0.18,0.92
22,0.1,0.37,0.01,0.01
30,0.22,0.84,0.34,0.01
4,0.08,0.12,0.36,0.84
4,0.67,0.93,0.14,0.43
31,0.37,0.93,0.01,0.01
37,0.1,0.37,0.01,0.01
4,0.94,0.17,0.31,0.72
4,0.94,0.17,0.31,0.72
6,0.67,0.93,0.14,0.43
4,0.35,0.65,0.41,0.94
21,0.1,0.37,0.01,0.01
18,0.1,0.37,0.01,0.01
34,0.1,0.37,0.01,0.01
33,0.1,0.37,0.01,0.01
5,0.93,0.5,0.35,0.37
4,0.44,0.81,0.43,0.49
18,0.1,0.37,0.01,0.01
7,0.49,0.22,0.24,0.22
9,0.94,0.54,0.04,0.06
4,0.23,0.9,0.55,0.83
22,0.22,0.84,0.34,0.01
4,0.94,0.17,0.31,0.72
7,0.11,0.96,0.85,0.2
5,0.62,0.67,0.41,0.34
5,0.39,0.05,0.26,0.65
6,0.43,0.86,0.19,0.24
20,0.1,0.37,0.01,0.01
10,0.78,0.77,0.85,0.14
32,0.37,0.93,0.01,0.01
32,0.1,0.37,0.01,0.01
19,0.1,0.37,0.01,0.01
41,0.1,0.37,0.01,0.01
22,0.1,0.37,0.01,0.01
19,0.1,0.37,0.01,0.01
30,0.1,0.37,0.01,0.01
7,0.29,0.86,0.04,0.31
19,0.1,0.37,0.01,0.01
4,0.23,0.9,0.55,0.83
4,0.44,0.99,0.4,0.65
21,0.1,0.37,0.01,0.01
29,0.1,0.37,0.01,0.01
4,0.42,0.36,0.06,0.99
4,0.22,0.47,0.24,0.41
4,0.57,0.05,0.78,0.78
8,0.44,0.7,0.4,0.12
4,0.23,0.9,0.55,0.83
21,0.1,0.37,0.01,0.01
32,0.1,0.37,0.01,0.01
30,0.1,0.37,0.01,0.01
21,0.1,0.37,0.01,0.01
4,0.94,0.17,0.31,0.72
4,0.08,0.12,0.36,0.84
5,0.5,0.03,0.57,0.29
5,0.55,0.87,0.83,0.47
4,0.53,0.37,0.43,0.45
9,0.24,0.78,0.11,0.17
max fit,64

NEW RUN: 7
7,0.1,0.37,0.24,0.22
7,0.1,0.37,0.24,0.22
20,0.11,0.12,0.01,0.01
6,0.1,0.37,0.24,0.22
4,0.55,0.43,0.16,0.93
6,0.1,0.37,0.24,0.22
6,0.1,0.37,0.24,0.22
5,0.74,0.63,0.18,0.47
