12,0.24,0.25,0.71,0.12
4,0.06,0.8,0.38,0.89
6,0.61,0.38,0.7,0.25
5,0.85,0.09,0.97,0.52
20,0.23,0.65,0.68,0.03
4,0.37,0.75,0.81,0.67
4,0.04,0.08,0.12,0.84
8,0.95,0.22,0.39,0.19
4,0.12,0.69,0.72,0.69
4,0.7,0.65,0.37,0.86
4,0.06,0.47,0.63,0.76
11,0.85,0.2,0.05,0.11
4,0.98,0.88,0.7,0.93
7,0.45,0.11,0.49,0.24
13,0.0,0.46,0.15,0.1
4,0.8,0.52,0.46,0.54
8,0.32,0.32,0.68,0.09
4,0.93,0.23,0.18,0.79
5,0.03,0.33,0.16,0.28
15,0.08,0.6,0.31,0.06
5,0.83,0.5,0.34,0.22
4,0.61,0.27,0.63,0.68
4,0.66,0.07,0.84,0.9
5,0.09,0.7,0.81,0.34
5,0.91,0.85,0.43,0.46
4,0.21,0.29,0.1,0.91
4,0.31,0.5,0.24,0.68
4,0.92,0.38,0.42,0.68
5,0.61,0.71,0.02,0.34
15,0.51,0.79,0.78,0.08
4,0.21,0.26,0.87,0.96
4,0.27,0.87,0.82,0.87
5,0.79,0.17,0.26,0.55
7,0.43,0.53,0.54,0.14
4,0.21,0.79,0.14,0.81
4,0.88,0.12,0.46,0.71
4,0.66,0.22,0.56,0.77
16,0.7,0.82,0.39,0.05
11,0.75,0.0,0.88,0.13
5,0.46,0.24,0.03,0.4
14,0.55,0.02,0.57,0.07
42,0.71,0.06,0.02,0.04
5,0.54,0.93,0.12,0.14
5,0.47,0.0,0.16,0.39
4,0.93,0.9,0.84,0.9
6,0.34,0.09,0.47,0.15
4,0.53,0.76,0.2,0.79
4,0.48,0.7,0.29,0.81
4,0.15,0.85,0.38,0.47
4,0.78,0.98,0.98,0.93
4,0.59,0.73,0.38,0.74
4,0.9,0.37,0.47,0.82
4,0.33,0.99,0.21,0.73
24,0.59,0.89,0.52,0.02
4,0.39,0.87,0.4,0.93
4,0.56,0.21,0.5,0.94
4,0.73,0.13,0.13,0.61
4,0.36,0.6,0.75,0.69
5,0.49,0.9,0.83,0.47
4,0.79,0.69,0.09,0.7
6,0.09,0.39,0.93,0.24
4,0.09,0.71,0.14,0.81
4,0.47,0.7,0.36,0.8
4,0.75,0.19,0.6,0.91
7,0.17,0.71,0.25,0.18
5,0.92,0.89,0.47,0.12
19,0.1,0.85,0.05,0.03
8,0.01,0.41,1.0,0.14
9,0.11,0.03,0.48,0.12
7,0.71,0.05,0.93,0.32
4,0.45,0.31,0.73,0.97
7,0.23,0.48,0.19,0.15
4,0.89,0.77,0.67,0.57
8,0.91,0.13,0.77,0.24
4,0.37,0.02,0.76,0.93
4,0.23,0.53,0.88,0.77
4,0.86,0.19,0.99,0.48
4,0.46,0.14,0.87,0.71
14,0.94,0.86,0.45,0.06
36,0.03,0.01,0.07,0.02
4,0.89,0.98,0.32,0.81
4,0.93,0.09,0.13,0.54
4,0.9,0.0,0.67,0.66
4,0.24,0.28,0.39,0.69
11,0.92,0.86,0.41,0.14
4,0.06,0.57,0.9,0.52
4,0.34,0.35,0.89,0.97
4,0.23,0.04,0.6,0.78
8,0.88,0.01,0.39,0.13
14,0.34,0.09,0.1,0.05
4,0.38,0.9,0.76,0.54
5,0.68,0.42,0.32,0.52
4,0.31,0.03,0.15,0.88
